Chambre;Emplacement;RawScan;Nb caisse;Nb bocaux;RawScan-Mani p;Strain;Line;Date;NbSem;AgeAMS;Type;Bocaux;Milieu;Rang;XorEorRori ;Rang/Rang+;Type+Rang;nom_varietes;Batch#;BatchLines;Qualité CHF;;;;0;;;1;< alt+e;;
1;1A50;735820250912AW2 7  ;6;;735820250912AW2;BRAHY;2406;12/09/2025;0;< 1 sem.;AW2 ;84;AW;2;X;2;X2;BARHEE;BAHREE 94;2363-2410;;;;;;;;;;;
1;1A50;870320250818E+1236 ;3;;870320250818E+1;ISEHS;9308;18/08/2025;4;1 mois ;E+12;42;E+;12;X;12;X12;SHESHI;SHESHI 03;9308;;;;;;;;;;;
1;1A51;870320250910E+1368 ;22;;870320250910E+1;ISEHS;9308;10/09/2025;1;1 sem.;E+13;308;E+;13;X;13+;X13+;SHESHI;SHESHI 03;9308;;;;;;;;;;;
1;1A51;870220250814E+127  ;12;6;870220250814E+1;FAIZ;9308;14/08/2025;5;1 mois ;E+12;174;E+;12;X;12;X12;FAYZEH;FAYZEH 01;9308;;;;;;;;;;;
1;1A52;870220250814RG1220 ;5;;870220250814RG1;FAIZ;9308;14/08/2025;5;1 mois ;RG12;70;RG;12;X;12;X12;FAYZEH;FAYZEH 01;9308;;;;;;;;;;;
1;1A42;825520250819E+2336 ;12;5;825520250819E+2;FAR F;257;19/08/2025;4;4 sem.;E+23;173;E+;23;X;13+;X13+;FARD femelle;FARD 20;253-262;;;;;;;;;;;
1;1A42;853020250729E+137  ;7;7;853020250729E+1;KNES;126;29/07/2025;7;1 mois 2 sem.;E+13;105;E+;13;X;13+;X13+;KENESI;KHENEZI 11;115-134;;;;;;;;;;;
1;1A41;862320250910XM207  ;7;;862320250910XM2;GAIS;120;10/09/2025;1;1 sem.;XM20;98;XM;20;X;13+;X13+;SAGGAI;SAGGAI 16;116-120;;;;;;;;;;;
1;1A41;870820250901XM1036 ;2;7;870820250901XM1;ISEHS;9312;01/09/2025;2;2 sem.;XM10;35;XM;10;X;10;X10;SHESHI;SHESHI 04;9312;;;;;;;;;;;
1;1A41;828620250910XM197  ;2;;828620250910XM1;GND;11;10/09/2025;1;1 sem.;XM19;28;XM;19;X;13+;X13+;GANDA;GANDA 4;11-15;;;;;;;;;;;
