Chambre,Emplacement,RawScan,Nb caisse,Nb bocaux,RawScan-Mani p,Strain,Line,Date,NbSem,AgeAMS,Type,Bocaux,Milieu,Rang,XorEorRori ,Rang/Rang+,Type+Rang,nom_varietes,Batch#,BatchLines,Qualité CHF,Unnamed: 22,Unnamed: 23,Unnamed: 24,0,Unnamed: 26,Unnamed: 27,1,< alt+e
1,1A50,735820250912AW2 7  ,6.0,,735820250912AW2,BRAHY,2406.0,2025-09-12,0.0,< 1 sem.,AW2 ,84.0,AW,2.0,X,2,X2,BARHEE,BAHREE 94,2363-2410,,,,,,,,,
1,1A50,870320250818E+1236 ,3.0,,870320250818E+1,ISEHS,9308.0,2025-08-18,4.0,1 mois ,E+12,42.0,E+,12.0,X,12,X12,SHESHI,SHESHI 03,9308,,,,,,,,,
1,1A51,870320250910E+1368 ,22.0,,870320250910E+1,ISEHS,9308.0,2025-09-10,1.0,1 sem.,E+13,308.0,E+,13.0,X,13+,X13+,SHESHI,SHESHI 03,9308,,,,,,,,,
1,1A51,870220250814E+127  ,12.0,6.0,870220250814E+1,FAIZ,9308.0,2025-08-14,5.0,1 mois ,E+12,174.0,E+,12.0,X,12,X12,FAYZEH,FAYZEH 01,9308,,,,,,,,,
1,1A52,870220250814RG1220 ,5.0,,870220250814RG1,FAIZ,9308.0,2025-08-14,5.0,1 mois ,RG12,70.0,RG,12.0,X,12,X12,FAYZEH,FAYZEH 01,9308,,,,,,,,,
1,1A42,825520250819E+2336 ,12.0,5.0,825520250819E+2,FAR F,257.0,2025-08-19,4.0,4 sem.,E+23,173.0,E+,23.0,X,13+,X13+,FARD femelle,FARD 20,253-262,,,,,,,,,
1,1A42,853020250729E+137  ,7.0,7.0,853020250729E+1,KNES,126.0,2025-07-29,7.0,1 mois 2 sem.,E+13,105.0,E+,13.0,X,13+,X13+,KENESI,KHENEZI 11,115-134,,,,,,,,,
1,1A41,862320250910XM207  ,7.0,,862320250910XM2,GAIS,120.0,2025-09-10,1.0,1 sem.,XM20,98.0,XM,20.0,X,13+,X13+,SAGGAI,SAGGAI 16,116-120,,,,,,,,,
1,1A41,870820250901XM1036 ,2.0,7.0,870820250901XM1,ISEHS,9312.0,2025-09-01,2.0,2 sem.,XM10,35.0,XM,10.0,X,10,X10,SHESHI,SHESHI 04,9312,,,,,,,,,
1,1A41,828620250910XM197  ,2.0,,828620250910XM1,GND,11.0,2025-09-10,1.0,1 sem.,XM19,28.0,XM,19.0,X,13+,X13+,GANDA,GANDA 4,11-15,,,,,,,,,
